username,firstname,realname,email,entity,profile,group
juan.perez,Juan,Pérez,juan.perez@gmail.com,TICGAL > Administración,Administrador,Administración
maria.garcia,María,García,maria.garcia@gmail.com,TICGAL > Administración,Administrador,Administración
carlos.sanchez,Carlos,Sánchez,carlos.sanchez@gmail.com,TICGAL > Comercial,Comercial,Comercial
luisa.fernandez,Luisa,Fernández,luisa.fernandez@gmail.com,TICGAL > Desarrollo,Desarrollador,Desarrollo
alberto.lopez,Alberto,López,alberto.lopez@gmail.com,TICGAL > Desarrollo > Móvil,Desarrollador,Desarrollo
marta.martinez,Marta,Martínez,marta.martinez@gmail.com,TICGAL > Desarrollo > Móvil > Junior,Desarrollador,Desarrollo
sofia.rodriguez,Sofía,Rodríguez,sofia.rodriguez@gmail.com,TICGAL > Desarrollo > Móvil > Senior,Desarrollador,Desarrollo
alejandro.diaz,Alejandro,Díaz,alejandro.diaz@gmail.com,TICGAL > Desarrollo > Web,Desarrollador,Desarrollo
laura.gomez,Laura, Gómez,laura.gomez@gmail.com,TICGAL > Desarrollo > Web > Junior,Desarrollador,Desarrollo
sergio.gonzalez,Sergio,González,sergio.gonzalez@gmail.com,TICGAL > Desarrollo > Web > Senior,Desarrollador,Desarrollo
pablo.ramirez,Pablo,Ramírez,pablo.ramirez@gmail.com,TICGAL > Soporte,Técnico,Soporte
andrea.castro,Andrea,Castro,andrea.castro@gmail.com,TICGAL > Soporte > Junior,Técnico,Soporte
francisco.ortega,Francisco, rtega,francisco.ortega@gmail.com,TICGAL > Soporte > Senior,Técnico,Soporte
oscar.beiro,Óscar,Beiro,oscar.beiro@gmail.com,TICGAL > Soporte,Técnico,Soporte
david.bernardez,David,Bernárdez,david.bernardez@gmail.com,TICGAL > Soporte > Junior,Técnico,Soporte
daniel.couso,Daniel,Couso,daniel.couso@gmail.com,TICGAL > Soporte > Senior,Técnico,Soporte
isabel.navarro,Isabel,Navarro,isabel.navarro@gmail.com,TICGAL > Administración,Administrador,Administración
